occ,n_aus,n_events,n_subjects,n_faces,duration,fullface_pct,session_pct,best_dice,best_status,best_match,band
12,1,1236,44,93,861.16,0.0906387465590515,0.0028496998804334547,1,complete,"contentment, happiness",strong (>=0.7)
12+25+26,3,553,43,81,313.321,0.03297763796580029,0.00103682337340017,0.8571428571428571,complete,"desire, relief",strong (>=0.7)
4,1,506,42,69,300.175,0.03159399617767115,9.93321405556589e-4,1,partial only,sadness,strong (>=0.7)
12+25,2,524,42,84,285.918,0.030093419502381546,9.461429820402394e-4,1,complete,happiness,strong (>=0.7)
1+2,2,427,41,72,249.188,0.026227516347202526,8.245982323905565e-4,0.8,complete,"fear, interest, surprise",strong (>=0.7)
6+12,2,226,38,57,202.88,0.021353510267430407,6.713585300552038e-4,1,complete,happiness,strong (>=0.7)
1+2+12,3,275,39,62,183.859,0.01935151342793517,6.084153587215088e-4,1,complete,interest,strong (>=0.7)
6+12+25+26,4,197,36,54,153.02700000000002,0.016106386118365897,5.063879228053908e-4,0.8888888888888888,complete,"amusement, coyness, happiness, triumph",strong (>=0.7)
17,1,274,38,65,116.762,0.012289425107677984,3.8638192372981913e-4,0.6666666666666666,complete,"disgust, sadness, shame",moderate (0.4-0.7)
14,1,232,37,62,102.743,0.010813898390213931,3.399910757761327e-4,0.6666666666666666,complete,contempt,moderate (0.4-0.7)
24,1,241,38,64,95.039,0.01000303757051616,3.1449745336118156e-4,0.5,complete,"anger, sympathy",moderate (0.4-0.7)
1+2+5+12,4,118,28,33,89.251,0.009393839436506464,2.953441451397722e-4,0.8571428571428571,complete,"fear, interest, surprise",strong (>=0.7)
4+25,2,181,34,47,87.669,0.009227330893313073,2.9010908404677473e-4,0.8,complete,contempt,strong (>=0.7)
1+2+12+25+26,5,180,29,48,83.125,0.008749066152307534,2.750723472537402e-4,0.9090909090909091,partial only,awe,strong (>=0.7)
1+2+5,3,117,30,38,75.813,0.007979464086675382,2.5087590811846987e-4,1,complete,"fear, surprise",strong (>=0.7)
6+12+25,3,115,35,49,73.181,0.007702441023663371,2.4216624895489878e-4,1,complete,happiness,strong (>=0.7)
